Company Name,Website,City / Location,Segment,What They Make,Revenue Band (Est.),Decision-Maker,C1 Manufacturer (Score / Evidence),C2 India-based (Score / Evidence),C3 Differentiated (Score / Evidence),C4 Technical DM (Score / Evidence),C5 Growing Sector (Score / Evidence),C6 Growth Signals (Score / Evidence),Federer Score,Band,Overall Verdict,Personalization Hook
Ross Lifescience Pvt. Ltd.,rosslifescience.com,Pune,Specialty Diagnostics — Reagents & Reference Materials,"Clinical chemistry reagents; reference standards; quality control materials for diagnostic laboratories; ELISA reagents",Unknown (small-mid),Technical founder background (pharma science),Strong — Manufactures reagents and QC materials in Pune,Strong — Pune-based manufacturer,Moderate — Established reagent manufacturer; ISO-certified; some product range but limited visible patent/regulatory moat vs peers,Moderate — Technical background likely given product domain; specific founder details not public,Strong — Clinical chemistry reagent demand growing with IVD expansion; Make-in-India push for diagnostic reagent localization,Moderate — Active website 2025; some product updates; limited public expansion signals,55,C,Borderline — Reagent manufacturer is real. Differentiation evidence is moderate. Requires further diligence to confirm founder background and moat.,India is trying to reduce import dependence on diagnostic reagents — Ross is one of the few Pune-based companies manufacturing clinical chemistry QC materials locally.
Agharkar Research Institute (ARI) — SPIN-OFF: watch for spinoffs,,Pune,Specialty Biotech — Research Institute (NOT ICP),Research institute — NOT a manufacturer. Cannot be included.,N/A,N/A,FAIL — Service/research organization,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,D,FAIL — Government research institute. Not a manufacturer. No commercial product pipeline that qualifies.,Auto-disqualified: Government R&D institution. Not ICP.
Serum Institute of India Pvt. Ltd.,seruminstitute.com,Pune,Specialty Biotech — Vaccines (NOT target segment),World's largest vaccine manufacturer by volume. Generic/bulk vaccines. NOT specialty biotech in our segment.,>Rs.500Cr (Rs.15000Cr+),Adar Poonawalla (CEO),Strong,Strong,Strong,Strong,Strong,Strong,FAIL,D,FAIL — Generic vaccine manufacturer + revenue massively above Rs.500Cr. Double disqualifier.,"Auto-disqualified: Rs.15000Cr+ revenue; primarily generic vaccines — both ceiling breach and segment mismatch."
Praj HiPurity Systems (Praj subsidiary),praj.net/hipurity,Pune,Specialty Biotech — Process Systems,Subsidiary of Praj Industries. Disqualified.,>Rs.500Cr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAIL,D,FAIL — Subsidiary of listed large-cap Praj Industries. Fails subsidiary rule.,"Auto-disqualified: Subsidiary of Praj Industries (Rs.3500Cr revenue). Not independently promoter-driven."
Maple Biotech Pvt. Ltd.,maplebiotech.in,Pune,Specialty Biotech — Microbial Cultures / Fermentation,"Probiotic cultures and bacterial reference strains; microbial culture collections; fermentation-based culture manufacturing for food dairy pharma industries",Unknown (small),Technical/science background leadership,Moderate — Manufactures microbial cultures and probiotics; own fermentation facility,Strong — Pune-based,Moderate — Culture collection and strain supply; niche but limited visible patent or regulatory approval evidence,Moderate — Technical background implied by domain; founder details limited public,Strong — Probiotic market growing; dairy culture demand; fermentation inputs for pharma; Make-in-India,Moderate — Active website; some LinkedIn activity; limited expansion signals,50,C,Borderline — Real fermentation manufacturer. Niche position in culture supply. Differentiation evidence needs further verification.,One of the few Indian companies maintaining proprietary bacterial reference strain collections for both food and pharma-grade applications.
Hi Tech BioSciences India Ltd.,hitechbio.com,Pune,Specialty Diagnostics — Diagnostic Kits & Reagents,"ELISA kits; rapid diagnostic kits; immunoassay reagents; infectious disease diagnostic kits for TB HIV hepatitis",Unknown (small-mid),Science/pharma background leadership,Strong — Manufactures ELISA kits and rapid diagnostics; own production facility in Pune,Strong — Pune-based,Moderate — CDSCO-licensed manufacturer; ELISA kit range for infectious disease; some export; no visible patents or DSIR recognition vs peers,Moderate — Technical background assumed in IVD manufacturing; founder credentials not publicly confirmed,Strong — Rapid diagnostic kit demand growing; TB HIV hepatitis diagnostics government push; export market,Moderate — Active website; CDSCO registration; limited public growth announcements,50,C,Borderline — Real IVD kit manufacturer. Adequate differentiation for the segment but lacks visible IP moat. Founder background needs verification.,"CDSCO-licensed manufacturer of ELISA-based infectious disease kits — a regulated product class that most Pune biotech companies avoid due to compliance complexity."
Shantani Proteome Analytics Pvt. Ltd.,shantaniproteome.com,Pune,Specialty Diagnostics — Proteomics Tools & Reagents,"Proteomics research reagents; mass spectrometry sample preparation kits; protein characterization services and tools for biopharma industry",Unknown (small),Science-led founders (proteomics background),Moderate — Makes reagent kits and tools; also has contract analytical service component,Strong — Pune-based,Strong — Specialist proteomics reagents for mass spec; niche within life-science tools; serving biopharma QC needs; technically deep product set,Strong — Founders appear to be scientists with proteomics background from Pune biotech ecosystem,Strong — Proteomics tools for biosimilar characterization growing with India biosimilar boom; biopharma QC tooling demand,Moderate — Active website; DSIR-recognition process reportedly ongoing; limited hiring data public,65,B,Probable Fit — Technically deep niche. Scientist-led. Serves growing biosimilar QC market from Pune. Scale small but domain specificity is real.,"Proteomics reagents for biosimilar characterization — a tooling niche that India's own growing biosimilar manufacturing sector is now creating domestic demand for."
Synergen Bio,synergenbio.com,Pune,Specialty Biotech — Biologics CDMO / Recombinant,"Biologics contract development and manufacturing; recombinant protein production; cell line development; upstream/downstream bioprocess development",Unknown (mid),Science/engineering leadership,Strong — Own bioprocess manufacturing facility; end-to-end CDMO capability,Strong — Pune-based (Baner area),Moderate — Biologics CDMO capability; growing client base; limited visible patents but regulated manufacturing,Moderate — Leadership with bioprocess engineering background; specific founder credentials not all public,Strong — Biologics CDMO boom; China+1 beneficiary; Biosecure Act driving US clients to India; Chakan-Talegaon corridor expansion,Strong — 216+ employee contacts on databases; active LinkedIn presence; CDMO sector growth; multiple client wins visible,70,B,Probable Fit — Real biologics CDMO in Pune's growing Chakan-Talegaon corridor. Benefits from Biosecure Act tailwind. Differentiation and founder profile need deeper verification.,"Positioned in the Chakan-Talegaon corridor — the same belt that Piramal Pharma Solutions and Enzene are expanding into — giving them access to a talent and partner ecosystem most Indian CDMOs lack."
QbD Purple Advanced Technologies Pvt. Ltd.,qbdpurple.com,Pune,Specialty Diagnostics — Life-science Tools / QbD Consulting,"Quality-by-Design tools and software for biopharma manufacturing; analytical method development support; regulatory submission tools",Unknown (small),Technical/regulatory science background,Moderate — Primarily a tech/tools company; product-service hybrid in QbD space,Strong — Pune-based,Moderate — QbD tools for regulatory science; specialist domain; limited manufacturing of physical product,Moderate — Regulatory science background; founder details limited,Strong — Quality-by-Design regulatory frameworks growing; CDSCO alignment with ICH guidelines; biopharma manufacturing expansion,Moderate — Active website; limited public signals,35,D,FAIL — Primarily a service and consulting company (QbD/regulatory tools). Not a product manufacturer in our ICP segment.,"Auto-disqualified: Service-dominant business model. QbD consulting does not meet the manufacturer criterion."
Vlife Sciences Technologies Pvt. Ltd.,vlifesciences.com,Pune,Specialty Diagnostics — Cheminformatics / Drug Discovery Tools,"Computational drug discovery software and molecular modeling tools; cheminformatics platforms; in-silico ADMET prediction tools",Unknown (small),Jay (Founder — computational biology background),FAIL — Software company not a manufacturer,Strong,Strong — Pioneer in Indian computational drug discovery tools; some proprietary platform IP,Moderate,Strong,Moderate,FAIL,D,FAIL — Software/service company. Does not manufacture a physical product. Auto-disqualified.,"Auto-disqualified: Software and computational tools company — no physical manufacturing."
Geneombio Technologies (already listed — not duplicated),,,,,,,,,,,,,,,,
Prorelix Research Pvt. Ltd.,prorelix.com,Pune,Specialty Diagnostics — CRO (NOT ICP),"Contract research organization — clinical trials BA/BE studies; analytical services for pharma",Unknown,Science leadership,FAIL — Service company (CRO),Strong,Moderate,Moderate,Strong,Moderate,FAIL,D,FAIL — Contract research organization. Sells services not products. Auto-disqualified.,Auto-disqualified: CRO — testing and analytical services. No physical manufactured product.
Greaves Cotton Bio division / Praj subsidiaries,N/A,Pune,N/A,Subsidiary structures,N/A,N/A,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,D,FAIL — Large-group subsidiaries. Not promoter-driven.,Auto-disqualified: Subsidiary/division of large industrial group.
Innovassynth Technologies (India) Ltd.,innovassynth.com,Khopoli (near Pune/Mumbai),Specialty Biotech — Custom Synthesis & APIs,"Custom synthesis of specialty chemicals; pharma intermediates; research chemicals; oligonucleotide synthesis",Rs.30-100Cr,Technical founder/promoter (chemistry background),Strong — Own manufacturing facility; custom synthesis plant,Strong — Maharashtra — Khopoli is between Pune and Mumbai; R&D center near Pune; manufacturing presence counts,Strong — ISO 9001 ISO 14001; custom synthesis capability for oligonucleotides and pharma intermediates; niche synthetic chemistry,Moderate — Technical chemistry background; founder details need verification,Strong — Custom synthesis growing; China+1 for chemical intermediates; pharma outsourcing tailwind,Moderate — Active website 2025; some product updates; limited public hiring data,60,B,Probable Fit — Real specialty synthesis manufacturer. Niche oligonucleotide + pharma intermediate capability. Location borderline (Khopoli) — verify operational presence in Pune cluster.,"One of a handful of Indian companies with oligonucleotide synthesis capability — a chemistry that most API manufacturers in India still import from China or Europe."
Kimya Biotech Pvt. Ltd.,kimyabiotech.com,Pune,Specialty Biotech — Enzyme Manufacturer,"Industrial and specialty enzymes; enzyme formulations for textile food pharma industries; fermentation-based enzyme production",Unknown (small),Technical/science leadership,Strong — Manufactures enzymes via fermentation; own production facility,Strong — Pune-based,Moderate — Enzyme manufacturer for multiple industries; limited visible patents or DSIR recognition,Moderate — Technical background implied; founder details limited public,Strong — Industrial enzyme market growing; food-grade enzyme demand; Make-in-India,Moderate — Active website; limited public growth data,50,C,Borderline — Real enzyme manufacturer. Differentiation and founder credentials need further verification. Include with caveat.,One of the few Pune-based companies focusing on enzyme fermentation specifically for the food and textile sectors — segments usually dominated by European multinationals.
GSL Biotech Pvt. Ltd.,gslbiotech.com,Pune,Specialty Biotech — Fermentation / Probiotics,"Probiotic cultures for human nutrition; specialty fermentation ingredients; microbial starter cultures",Unknown (small),Biotech background leadership,Strong — Fermentation-based probiotic manufacturing; own facility,Strong — Pune-based,Moderate — Probiotic culture manufacturer; some differentiation in strain specificity; limited public IP evidence,Moderate — Technical background implied; founder details limited public,Strong — Probiotic sector growing; nutraceutical tailwind; functional food ingredient demand,Moderate — Active website; limited public signals,50,C,Borderline — Real probiotic manufacturer. Differentiation needs further evidence. Research further before including.,One of a small number of Pune-based companies focused on fermentation-derived probiotic cultures specifically for human nutrition rather than animal health.
Green Pyramid Biotech Pvt. Ltd.,greenpyramidbiotech.com,Pune,Specialty Biotech — Enzymes & Probiotics,"Industrial enzymes; probiotics for aquaculture and agriculture; specialty microbial products via fermentation",Unknown (small),Science leadership,Moderate — Manufactures enzymes and probiotics; some production capability,Strong — Pune-based,Moderate — Enzyme and probiotic manufacturer; agricultural/aquaculture focus; limited visible IP or regulatory approvals,Moderate — Technical background implied,Strong — Aquaculture and agri-biotech tailwind; biopesticide/biofertilizer growth; PLI agri-input potential,Moderate — Active website; limited public signals,45,C,Borderline — Enzyme and probiotic manufacturer in growing agri-biotech segment. Limited differentiation evidence. Include provisionally with caveat.,Positioned at the intersection of aquaculture probiotics and agricultural enzymes — a segment growing fast as India expands shrimp farming and reduces chemical inputs.
Indo Bioactive Labs Pvt. Ltd.,indobioactive.com,Pune,Specialty Biotech — Bioactive Ingredients / Fermentation,"Natural bioactive compounds; fermentation-derived specialty ingredients; nutraceutical and functional food ingredients",Unknown (small),Science/biotech leadership,Moderate — Manufactures bioactive ingredients; some fermentation capability,Strong — Pune-based,Moderate — Specialty ingredient manufacturer; limited visible patents,Moderate — Technical background assumed,Strong — Functional ingredient market growing; nutraceutical tailwind; export potential,Moderate — Active website; limited expansion signals,45,C,Borderline — Real bioactive ingredient manufacturer. Differentiation and founder credentials need deeper research before including.,Focused on fermentation-derived bioactive ingredients for functional foods — a segment growing as Indian consumers shift toward science-backed nutrition products.
Linq Therapeutics Pvt. Ltd.,linqtherapeutics.com,Pune,Specialty Biotech — Drug Discovery / Recombinant,"Novel biologics discovery; recombinant protein therapeutics; early-stage pipeline company",Unknown (startup),Science-founder leadership,Moderate — Early-stage; some recombinant protein development capability; not yet at full manufacturing scale,Strong — Pune-based,Moderate — Novel biologics pipeline; some IP in development; early stage means limited commercial proof,Strong — Scientist-led (typical for therapeutics startup),Strong — Novel biologics growing; mRNA/protein therapeutics tailwind,Moderate — Active; early-stage signals; limited public data,50,C,Borderline — Early-stage recombinant biotech. Scientist-led. Too early for full Federer confirmation. Monitor for 12-18 months.,"Early-stage Pune biotech pursuing novel recombinant protein therapeutics — a pipeline that would benefit from exactly the structured commercial experimentation that Scientific Execution offers."
